departamento;t_completo;t_ocasional;hora_catedra;anio;periodo;formacion
04;0;0;0;2010;1;1
04;2;0;0;2010;1;2
04;3;1;3;2010;1;3
04;1;1;8;2010;1;4
01;2;0;0;2010;1;1
01;4;1;1;2010;1;2
01;4;0;5;2010;1;3
01;2;0;5;2010;1;4
02;0;0;0;2010;1;1
02;3;0;1;2010;1;2
02;4;2;1;2010;1;3
02;2;1;16;2010;1;4
03;0;0;0;2010;1;1
03;2;1;0;2010;1;2
03;4;2;2;2010;1;3
03;3;2;26;2010;1;4
05;2;0;0;2010;1;1
05;8;2;3;2010;1;2
05;0;2;2;2010;1;3
05;0;0;7;2010;1;4
06;3;0;0;2010;1;1
06;6;1;0;2010;1;2
06;0;1;2;2010;1;3
06;0;0;0;2010;1;4
16;0;0;0;2010;1;1
16;4;1;1;2010;1;2
16;0;0;3;2010;1;3
16;0;0;5;2010;1;4
17;0;0;0;2010;1;1
17;0;0;4;2010;1;2
17;1;1;24;2010;1;3
17;0;0;29;2010;1;4
07;0;0;0;2010;1;1
07;5;0;0;2010;1;2
07;3;4;4;2010;1;3
07;1;2;9;2010;1;4
08;1;0;0;2010;1;1
08;2;0;0;2010;1;2
08;2;2;12;2010;1;3
08;0;0;9;2010;1;4
09;1;0;0;2010;1;1
09;3;0;0;2010;1;2
09;1;1;7;2010;1;3
09;0;0;6;2010;1;4
10;1;0;0;2010;1;1
10;5;2;3;2010;1;2
10;0;1;0;2010;1;3
10;0;0;4;2010;1;4
11;1;0;0;2010;1;1
11;11;1;1;2010;1;2
11;0;0;0;2010;1;3
11;0;1;1;2010;1;4
12;1;0;0;2010;1;1
12;2;0;0;2010;1;2
12;3;0;0;2010;1;3
12;0;0;2;2010;1;4
13;3;0;0;2010;1;1
13;11;0;4;2010;1;2
13;2;0;10;2010;1;3
13;0;0;52;2010;1;4
14;2;0;0;2010;1;1
14;2;1;3;2010;1;2
14;2;1;3;2010;1;3
14;0;2;8;2010;1;4
15;1;0;0;2010;1;1
15;3;0;2;2010;1;2
15;1;0;3;2010;1;3
15;0;0;2;2010;1;4
18;3;0;0;2010;1;1
18;6;3;0;2010;1;2
18;2;0;1;2010;1;3
18;0;1;9;2010;1;4
19;4;0;0;2010;1;1
19;5;0;2;2010;1;2
19;1;0;3;2010;1;3
19;0;0;11;2010;1;4
20;0;0;0;2010;1;1
20;17;1;4;2010;1;2
20;7;2;9;2010;1;3
20;1;1;18;2010;1;4
21;5;0;0;2010;1;1
21;6;1;1;2010;1;2
21;0;0;6;2010;1;3
21;0;1;4;2010;1;4
28;2;0;0;2010;1;1
28;4;0;0;2010;1;2
28;1;1;1;2010;1;3
28;1;0;7;2010;1;4
29;0;0;0;2010;1;1
29;4;0;0;2010;1;2
29;3;0;3;2010;1;3
29;1;0;6;2010;1;4
30;1;0;0;2010;1;1
30;1;0;0;2010;1;2
30;2;0;2;2010;1;3
30;1;0;2;2010;1;4
22;2;0;0;2010;1;1
22;3;0;6;2010;1;2
22;2;0;7;2010;1;3
22;1;0;9;2010;1;4
23;6;0;0;2010;1;1
23;8;3;3;2010;1;2
23;1;0;2;2010;1;3
23;0;0;9;2010;1;4
24;1;0;0;2010;1;1
24;3;0;1;2010;1;2
24;6;0;4;2010;1;3
24;1;0;8;2010;1;4
25;1;0;0;2010;1;1
25;3;1;0;2010;1;2
25;5;2;7;2010;1;3
25;0;1;16;2010;1;4
26;0;0;0;2010;1;1
26;6;1;0;2010;1;2
26;0;0;1;2010;1;3
26;0;1;7;2010;1;4
27;2;0;0;2010;1;1
27;4;0;0;2010;1;2
27;0;1;1;2010;1;3
27;1;0;11;2010;1;4
